,School,Professor,Department,Rating,Rating Count
943,Pennsylvania State University,Cummings Keith,Fine Arts,3.9,18
944,Pennsylvania State University,Cummins Terry,Business,3.7,3
945,Pennsylvania State University,Cundiff Kelsey,Criminal Justice,2.5,2
946,Pennsylvania State University,Cuomo Dana,Geography,5.0,3
947,Pennsylvania State University,Curling Michelle,Accounting,3.3,21
948,Pennsylvania State University,Curran Brian,Art History,3.5,30
949,Pennsylvania State University,Curtis Wayne,Chemical Engineering,3.0,23
950,Pennsylvania State University,Cushenbery Lily,Psychology,2.7,3
951,Pennsylvania State University,Cushing Nancy,English,3.0,3
952,Pennsylvania State University,Cusumano Joseph,"Engineering, Science, & Mechanics",3.9,20
953,Pennsylvania State University,Cutezo Beth,Nursing,3.1,10
954,Pennsylvania State University,Cutter Catherine,Agriculture,5.0,1
955,Pennsylvania State University,Cuya Lorena,Spanish,4.2,15
956,Pennsylvania State University,Cyr Richard,Biological Sciences,3.2,45
957,Pennsylvania State University,Cyr Van,Mathematics,3.5,9
958,Pennsylvania State University,Czymoniewicz Klipp,Women's Studies,5.0,1
959,Pennsylvania State University,D'Andrea Francesco,Mathematics,3.0,1
960,Pennsylvania State University,D'Augelli Anthony,Human Development,3.9,17
961,Pennsylvania State University,Dabo Ismaila,Materials Engineering,4.8,6
962,Pennsylvania State University,Daenzer Calder,Mathematics,4.7,3
963,Pennsylvania State University,Daise David,Philosophy,1.0,3
964,Pennsylvania State University,Daley Christina,Select department,4.9,22
965,Pennsylvania State University,Dalola Amanda,French,4.9,20
966,Pennsylvania State University,Damaske Sarah,Labor & Employment Relations,4.7,5
967,Pennsylvania State University,Danahy Anne,Communication,3.8,9
968,Pennsylvania State University,Dann Michael,Biological Sciences,4.6,59
969,Pennsylvania State University,Dansky Kathryn,Health Science,3.4,7
970,Pennsylvania State University,Dansky Larry,Health Administration,4.4,15
971,Pennsylvania State University,Danube Cinnamon,Psychology,3.3,7
972,Pennsylvania State University,Darby Megan,English,2.8,2
973,Pennsylvania State University,Dardis Frank,Communication,4.0,33
974,Pennsylvania State University,Darnell Jamey,Management,3.8,5
975,Pennsylvania State University,Darragjati Julian,English,4.1,15
976,Pennsylvania State University,Darrah Adrienne,Business,4.5,2
977,Pennsylvania State University,Das Chitaranjan,Computer Science,2.8,12
978,Pennsylvania State University,Das Anirban,Mathematics,1.5,4
979,Pennsylvania State University,Datta Anjuli,Biological Sciences,3.8,15
980,Pennsylvania State University,Dattilo John,"Recreation, Parks, & Tourism",3.1,9
981,Pennsylvania State University,Daughtry John,Information Science,4.9,4
982,Pennsylvania State University,Davidson Maritza,Spanish,3.9,12
983,Pennsylvania State University,Davis Kristopher Allen,Spanish,4.4,11
984,Pennsylvania State University,Davis Dennis,Communication,3.2,3
985,Pennsylvania State University,Davis Kelly,Human Development,5.0,2
986,Pennsylvania State University,Davis Matthew,Computer Science,3.9,10
987,Pennsylvania State University,Davis Geffrey Mic,English,4.7,3
988,Pennsylvania State University,Davis Ken,Meteorology,4.0,2
989,Pennsylvania State University,Davis Vaughn,Theater,4.0,1
990,Pennsylvania State University,Davis Amira,African-American Studies,4.0,1
991,Pennsylvania State University,Davis Brian,Finance,4.2,25
992,Pennsylvania State University,Daw Jonathan,Sociology,2.8,2
993,Pennsylvania State University,Dawood Khytam,Psychology,3.9,30
994,Pennsylvania State University,Dawson Mike,Communication,4.3,12
995,Pennsylvania State University,Dawson Rebekah,Astronomy,4.0,3
996,Pennsylvania State University,Dawson Maria,Health Administration,3.0,22
997,Pennsylvania State University,Dayanada Vanitha,Sociology,2.9,15
998,Pennsylvania State University,Dayananda Vanitha,Social Science,3.4,61
999,Pennsylvania State University,Dayrat Benoit,Biological Sciences,4.5,2
1000,Pennsylvania State University,Dazen Kevin,Biological Sciences,5.0,1
1001,Pennsylvania State University,de Anna Francesco,Mathematics,5.0,4
1002,Pennsylvania State University,de Armas Alexandra,Spanish,4.5,6
1003,Pennsylvania State University,"De La Cruz, Jr JorgeJ.",Communication Arts,5.0,1
1004,Pennsylvania State University,De Leon Jason,Anthropology,4.9,8
1005,Pennsylvania State University,de Oliveira Gabriella,Biological Sciences,1.0,3
1006,Pennsylvania State University,De Schaepdrijver Sophie,History,4.0,14
1007,Pennsylvania State University,De Souza Mary Jane,Kinesiology,4.7,9
1008,Pennsylvania State University,de Viveiros Luiz,Physics,2.2,5
1009,Pennsylvania State University,Deakyne Theodore,Mechanical Engineering,4.5,1
1010,Pennsylvania State University,Debroy Tarasankar,Materials Engineering,3.0,12
1011,Pennsylvania State University,Decarvalho Lauren,Communication,4.5,9
1012,Pennsylvania State University,Dechow Chad,Animal Science,3.5,3
1013,Pennsylvania State University,Deckman Joshua,Spanish,4.4,9
1014,Pennsylvania State University,Decoteau Dennis,Horticulture,4.9,7
1015,Pennsylvania State University,Deere Michael,Philosophy,4.2,19
1016,Pennsylvania State University,Defelice Meredith,Biochemistry,5.0,4
1017,Pennsylvania State University,Deforest Russell,Mathematics,3.5,21
1018,Pennsylvania State University,DeGiorgio  Michael ,Biological Sciences,3.4,6
1019,Pennsylvania State University,DeGraw Jason,Engineering,3.8,4
1020,Pennsylvania State University,Dehart Barbara,Biological Sciences,3.3,35
1021,Pennsylvania State University,Deiter Dean,Nursing,4.5,4
1022,Pennsylvania State University,Del Moral Solsiree,History,4.1,6
1023,Pennsylvania State University,Delaney Lisa,Spanish,4.6,7
1024,Pennsylvania State University,Delaney-Klinger Kelly,Business,4.2,3
1025,Pennsylvania State University,Delavan John,Communication,5.0,2
1026,Pennsylvania State University,Delbridge Spencer,History,4.8,7
1027,Pennsylvania State University,Delgado Grace,History,4.9,11
1028,Pennsylvania State University,Delgado-Poust Antonia,Spanish,4.4,14
1029,Pennsylvania State University,Dellaposta Daniel,Sociology,4.0,1
1030,Pennsylvania State University,Demeke Bayou,Economics,3.8,5
1031,Pennsylvania State University,Demeter Edward,Industrial Engineering,2.3,13
1032,Pennsylvania State University,Demirci Ali,Biological Sciences,5.0,1
1033,Pennsylvania State University,Demirel Melik,Engineering,4.8,3
1034,Pennsylvania State University,Demirkaya Betul,Political Science,1.0,7
1035,Pennsylvania State University,Demo Anne,Communication Arts,5.0,1
1036,Pennsylvania State University,Deng Yang,Art,5.0,4
1037,Pennsylvania State University,Denizci Basak,Hospitality,3.8,12
1038,Pennsylvania State University,Denker Manfred,Mathematics,2.2,9
1039,Pennsylvania State University,Dennis Nancy,Psychology,4.0,3
1040,Pennsylvania State University,Depamphilis Claude,Biological Sciences,4.5,4
1041,Pennsylvania State University,Derickson Alan,History,4.4,14
1042,Pennsylvania State University,Derosa Alex,Mechanical Engineering,5.0,1
1043,Pennsylvania State University,Desai Madhuri,Art History,2.9,11
1044,Pennsylvania State University,Desantis Francesca,Spanish,2.9,5
1045,Pennsylvania State University,Deshong-Cook Lee,Human Development,5.0,1
1046,Pennsylvania State University,Detert James,Business,3.8,34
1047,Pennsylvania State University,Detwiler Jim,Earth Science,3.9,3
1048,Pennsylvania State University,Detwyler Anatoly,Chinese,3.7,6
1049,Pennsylvania State University,Deutsch Jennifer,Health Administration,4.6,7
1050,Pennsylvania State University,Devon Richard,Engineering,4.1,21
1051,Pennsylvania State University,Dewey William,Art History,3.5,8
1052,Pennsylvania State University,Dewitt Lindsay,English,2.7,5
1053,Pennsylvania State University,Dexter Douglas,Education,4.9,17
1054,Pennsylvania State University,Deyoung Tyce,Physics,4.6,11
1055,Pennsylvania State University,Dhanorkar Suvrat,Business,4.7,10
1056,Pennsylvania State University,DI Chunyuan,Chinese,4.0,14
1057,Pennsylvania State University,Diamond Jennifer,Psychology,4.0,1
1058,Pennsylvania State University,Diaz Krystal,Chemistry,4.0,1
1059,Pennsylvania State University,Diaz Gustavo,Spanish,4.0,3
1060,Pennsylvania State University,Diaz Michele,Psychology,4.0,1
1061,Pennsylvania State University,Dick Brian,Visual Arts,2.0,1
1062,Pennsylvania State University,Diddi Pratiti,Communication,1.0,1
1063,Pennsylvania State University,Didlake Anthony,Meteorology,3.0,1
1064,Pennsylvania State University,Diederich Leann,Human Development,2.0,1
1065,Pennsylvania State University,Diehl Renee,Physics,3.1,11
1066,Pennsylvania State University,Dieter Dean,Nursing,4.3,8
1067,Pennsylvania State University,Dietz Amy,Labor & Employment Relations,4.6,8
1068,Pennsylvania State University,Diewald Lisa,Nutrition,4.5,1
1069,Pennsylvania State University,Dileone Brooke,Psychology,4.0,2
1070,Pennsylvania State University,Dillard James,Communication Arts,4.6,5
1071,Pennsylvania State University,Dillon John,Communication,3.1,12
1072,Pennsylvania State University,Dillon Janet,Mathematics,4.0,1
1073,Pennsylvania State University,Dillon Valerie,Communication,5.0,1
1074,Pennsylvania State University,Dimaggio Sara,English,4.2,3
1075,Pennsylvania State University,DiMaggio Erin,Geology,1.6,5
1076,Pennsylvania State University,DiMercurio Dominick,Communication Disorders,1.5,2
1077,Pennsylvania State University,Dinallo Jennifer,Behavioral Sciences,2.8,4
1078,Pennsylvania State University,Ding Min,Marketing,3.9,4
1079,Pennsylvania State University,Ding Wei,Communication,4.5,2
1080,Pennsylvania State University,Ding Pengyong,Mathematics,1.0,3
1081,Pennsylvania State University,Dingman Marc,Behavioral Sciences,4.7,3
1082,Pennsylvania State University,Dingman Marc,Biological Sciences,4.7,41
1083,Pennsylvania State University,Dingwell Jon,Kinesiology,1.0,1
1084,Pennsylvania State University,Dionisio Joseph,Health Administration,4.3,14
1085,Pennsylvania State University,Dirsmith Mark,Accounting,4.3,9
1086,Pennsylvania State University,Distaso Marcia,Communication,4.0,6
1087,Pennsylvania State University,Divinsky Anna,Art,2.3,24
1088,Pennsylvania State University,Dixit Shruti,Landscape Architecture  Regional Planning,2.4,9
1089,Pennsylvania State University,Djelal Juana,Literature,4.2,30
1090,Pennsylvania State University,Doan William,Theater,4.1,15
1091,Pennsylvania State University,Doane Bethany,English,4.9,7
1092,Pennsylvania State University,Dobbs James,Psychology,4.9,30
1093,Pennsylvania State University,Dodds Jeffery,Veterinary Sciences,4.3,3
1094,Pennsylvania State University,Dodoo Francis,Sociology,3.5,9
1095,Pennsylvania State University,Doerksen Shawna,"Recreation, Parks, & Tourism",4.1,4
1096,Pennsylvania State University,Dogru Filiz,Mathematics,3.5,1
1097,Pennsylvania State University,Doherty John,Electrical Engineering,3.0,18
1098,Pennsylvania State University,Doke Deniz,Communication Disorders,5.0,1
1099,Pennsylvania State University,Dolan John,Communication,3.9,4
1100,Pennsylvania State University,Domico John,Computer Science,3.2,22
1101,Pennsylvania State University,Donahue Wesley,Curriculum & Instruction,4.5,2
1102,Pennsylvania State University,Dong Jing,Chemistry,3.0,3
1103,Pennsylvania State University,Dong Cheng,Engineering,3.0,15
1104,Pennsylvania State University,Donghui Jeong,Astronomy,4.7,3
1105,Pennsylvania State University,Donnell Eric,Civil Engineering,4.6,10
1106,Pennsylvania State University,Donohue Micah,Comparative Literature,3.1,6
1107,Pennsylvania State University,Doores Stephanie,Food Science,3.9,7
1108,Pennsylvania State University,Doppelt Ross,Economics,3.5,2
1109,Pennsylvania State University,Doran Meredith,French,4.6,7
1110,Pennsylvania State University,Doran Sabine,German,4.8,6
1111,Pennsylvania State University,Doris Marilyn,Communication,4.7,6
1112,Pennsylvania State University,Dorman Frank,Biochemistry,4.7,14
1113,Pennsylvania State University,Dorman Franklin,Chemistry,3.0,1
1114,Pennsylvania State University,Dougherty Rob,Literature,4.1,9
1115,Pennsylvania State University,Doughty Susan,Human Development,4.2,2
1116,Pennsylvania State University,Dougnon Isaie,African-American Studies,3.0,2
1117,Pennsylvania State University,Dove Donna,Physical Ed,4.1,22
1118,Pennsylvania State University,Dovis Alessandro,Economics,1.5,3
1119,Pennsylvania State University,Dowgwillo Emily,Psychology,2.0,1
1120,Pennsylvania State University,Dowler Lorraine,Geography,3.8,22
1121,Pennsylvania State University,Downs Danielle,Kinesiology,4.4,7
1122,Pennsylvania State University,Downs Roger,Geography,4.5,16
1123,Pennsylvania State University,Doyle Nicolas,English,5.0,1
1124,Pennsylvania State University,Doyle Richard,English,4.3,23
1125,Pennsylvania State University,Dracos Marcus,Philosophy,4.7,10
1126,Pennsylvania State University,Dracos Melissa,Spanish,4.6,8
1127,Pennsylvania State University,Drafall Lynn,Music,3.9,13
1128,Pennsylvania State University,Drago Bob,Women's Studies,3.8,8
1129,Pennsylvania State University,Drais-Parrillo Alicia,Psychology,3.5,19
1130,Pennsylvania State University,Drane Greg,Music,4.4,18
1131,Pennsylvania State University,Drapaca Corina,Engineering,4.2,5
1132,Pennsylvania State University,Dreschel Nancy,Animal Science,4.6,27
1133,Pennsylvania State University,Drew Patrick,Engineering Science  Mechanics,3.0,1
1134,Pennsylvania State University,Drew Kirstin,Physics,1.7,9
1135,Pennsylvania State University,Dribin Amy,Psychology,5.0,1
1136,Pennsylvania State University,Droege Paula,Philosophy,4.2,24
1137,Pennsylvania State University,Droz Daniel,Mathematics,3.5,15
1138,Pennsylvania State University,Dryeson Mark,Kinesiology,3.5,3
1139,Pennsylvania State University,Du Qiang,Mathematics,5.0,1
1140,Pennsylvania State University,Du Kai,Accounting,3.3,8
1141,Pennsylvania State University,Du Jing,Mechanical Engineering,2.0,1
1142,Pennsylvania State University,Dube Sibusiwe,African-American Studies,3.4,52
1143,Pennsylvania State University,Dubose Michael,English,4.5,9
1144,Pennsylvania State University,Dubyak Pamela,Psychology,3.9,15
1145,Pennsylvania State University,Duchene Lisa,Journalism,1.5,2
1146,Pennsylvania State University,Dudley Edward,Agriculture,5.0,1
1147,Pennsylvania State University,Duerr Linda,Human Development,5.0,1
1148,Pennsylvania State University,Duffee Robin,Communication Arts,5.0,1
1149,Pennsylvania State University,Duffey Michele,Health Science,4.5,19
1150,Pennsylvania State University,Duffey Mike,Kinesiology,2.8,40
1151,Pennsylvania State University,Dugan Jim,Communication,5.0,1
1152,Pennsylvania State University,Dumas Charles,Theater,2.0,2
1153,Pennsylvania State University,Dumas Jo,Communication,3.8,37
1154,Pennsylvania State University,Dumitrescu Florin,Mathematics,3.3,25
1155,Pennsylvania State University,Duncan Angela,Education,4.5,1
1156,Pennsylvania State University,Dunleavy Michele,Art,2.7,6
1157,Pennsylvania State University,Dunn James,Agriculture,3.0,22
1158,Pennsylvania State University,Dunn Teresa,French,4.0,4
1159,Pennsylvania State University,Dunn Lori,Accounting,5.0,1
1160,Pennsylvania State University,Dunn Courtney,English,1.9,8
1161,Pennsylvania State University,Dunne Stephanie,Economics,4.0,1
1162,Pennsylvania State University,Durham Steven,Hotel & Restaurant Management,3.0,2
1163,Pennsylvania State University,Durmus Deniz,Philosophy,2.8,4
1164,Pennsylvania State University,Durrenberger Paul,Anthropology,2.9,24
1165,Pennsylvania State University,Dussias Giuli,Spanish,4.2,10
1166,Pennsylvania State University,Dutt Abhijit,Information Science,1.0,1
1167,Pennsylvania State University,Duval Grace,French,4.3,4
1168,Pennsylvania State University,Dwivedi  Neelam,Information Sciences  Technology,1.7,5
1169,Pennsylvania State University,Dykstra Sheryl,Chemistry,3.9,43
1170,Pennsylvania State University,Dyreson Mark,Kinesiology,3.3,20
1171,Pennsylvania State University,Dzikowski Dave,Communication,2.5,36
1172,Pennsylvania State University,Early Nicholas,Mathematics,1.8,4
1173,Pennsylvania State University,Easterling Bill,Geography,3.2,9
1174,Pennsylvania State University,Ebbes Peter,Marketing,4.6,6
1175,Pennsylvania State University,Ebeck Chrissie,Criminal Justice,3.4,4
1176,Pennsylvania State University,Eberhart Ryan,Mathematics,4.0,18
1177,Pennsylvania State University,Eberly Rosa,English,3.6,19
1178,Pennsylvania State University,Ebersole Diana,Communication,5.0,2
1179,Pennsylvania State University,Ebitz David,Art,4.4,23
1180,Pennsylvania State University,Ebken Diane,Nursing,4.7,3
1181,Pennsylvania State University,Ebrahimi Aida,Electrical Engineering,2.3,3
1182,Pennsylvania State University,Eburne Jonathan,Humanities,4.0,19
1183,Pennsylvania State University,Echols Stuart,Landscape Architecture & Regional Planning,4.5,6
1184,Pennsylvania State University,Echols Ann,Business,4.1,12
1185,Pennsylvania State University,Eckhardt Robert,Human Development,4.9,4
1186,Pennsylvania State University,Eckstein Jacob,Communication,3.6,22
1187,Pennsylvania State University,Edelschein Lauren,Kinesiology,5.0,3
1188,Pennsylvania State University,Edelstein Gerardo,Music,4.6,10
1189,Pennsylvania State University,Edelstein Ruth,Hebrew,2.7,14
1190,Pennsylvania State University,Edwards Robert,Literature,4.2,2
1191,Pennsylvania State University,Edwards Jim,Computer Science,5.0,1
1192,Pennsylvania State University,Edwards Michael,Italian,4.8,7
1193,Pennsylvania State University,Effrig Jessica,Human Development,5.0,1
1194,Pennsylvania State University,Eftimiades Nick,Social Science,4.0,1
1195,Pennsylvania State University,Egan Beth,Hotel & Restaurant Management,2.3,32
1196,Pennsylvania State University,Egan Brian,Animal Science,4.3,7
1197,Pennsylvania State University,Eggebeen David,Humanities,3.4,14
1198,Pennsylvania State University,Egger Philip,Mathematics,4.5,2
1199,Pennsylvania State University,Eggert Michael,Law,3.6,5
1200,Pennsylvania State University,Eggleston Derek,Philosophy,4.0,1
1201,Pennsylvania State University,Eghigian Greg,History,4.3,35
1202,Pennsylvania State University,Egley Nicole,English,5.0,2
1203,Pennsylvania State University,Egorov Arseny,Mathematics,3.2,16
1204,Pennsylvania State University,Eikey Elizabeth,Information Sciences  Technology,4.5,4
1205,Pennsylvania State University,Eimer Juliana,Philosophy,4.6,9
1206,Pennsylvania State University,Eimer Sara,Philosophy,2.2,3
1207,Pennsylvania State University,Einziger Hillary,Mathematics,3.0,19
1208,Pennsylvania State University,Eipper Daniel,Meteorology,2.0,2
1209,Pennsylvania State University,Eisenhauer Elizabeth,Statistics,5.0,1
1210,Pennsylvania State University,Eisenstein James,Social Science,3.8,3
1211,Pennsylvania State University,Eisentraeger Kirsten,Mathematics,4.6,6
1212,Pennsylvania State University,Eissenstat Brenda,Health Science,3.5,28
1213,Pennsylvania State University,El Shakry Hoda,Comparative Literature,3.8,4
1214,Pennsylvania State University,El Younssi Anouar,Comparative Literature,5.0,1
1215,Pennsylvania State University,El-Chabib Hassan,Engineering,4.5,2
1216,Pennsylvania State University,Elavsky Charles,Communication,4.2,78
1217,Pennsylvania State University,Elavsky Steriani,Kinesiology,1.6,6
1218,Pennsylvania State University,Elazsky Steriani,Kinesiology,1.0,1
1219,Pennsylvania State University,Elbich Daniel,Psychology,5.0,1
1220,Pennsylvania State University,Elder Suzanne,Theater,4.3,3
1221,Pennsylvania State University,Elder Andy,Journalism,3.6,15
1222,Pennsylvania State University,Elliot Lyn,Film,2.9,20
1223,Pennsylvania State University,Elliott Herschel,Engineering,4.5,3
1224,Pennsylvania State University,Elliott Dustin,Psychology,3.7,54
1225,Pennsylvania State University,Ellison William,Psychology,2.8,5
1226,Pennsylvania State University,Elrod Leslie,Sociology,2.0,3
1227,Pennsylvania State University,Elsworth Derek,Not Specified,3.1,22
1228,Pennsylvania State University,Emmer Janalee,Art History,3.7,7
1229,Pennsylvania State University,Endres Matthew,Biological Sciences,3.2,5
1230,Pennsylvania State University,Endsley Crystal,Africana Studies,4.6,8
1231,Pennsylvania State University,Engel-Herbert Roman,Materials Engineering,3.5,8
1232,Pennsylvania State University,Engelder Terry,Geology,2.7,23
1233,Pennsylvania State University,Engelder James,Earth Science,3.5,1
1234,Pennsylvania State University,Engels Anna,Psychology,3.0,6
1235,Pennsylvania State University,Engels Jeremy,Communication,4.8,15
1236,Pennsylvania State University,Enis Charles,Accounting,3.6,24
1237,Pennsylvania State University,Epstein Eric,Philosophy,5.0,1
1238,Pennsylvania State University,Eracleous Mike,Astronomy,4.0,14
1239,Pennsylvania State University,Erby Brandon,English,4.7,4
1240,Pennsylvania State University,Erchenko Alena,Mathematics,3.3,11
1241,Pennsylvania State University,Erickson Mary,Mathematics,4.4,47
1242,Pennsylvania State University,Eritsyan Tigran,Mathematics,3.7,7
1243,Pennsylvania State University,Erlandson Andrew,English,4.0,2
1244,Pennsylvania State University,Erlichman Sara,Communication,3.0,1
1245,Pennsylvania State University,Ernst Stan,Agriculture,5.0,3
1246,Pennsylvania State University,Ertekin Turgay,Earth Science,4.2,13
1247,Pennsylvania State University,Escote-Carlson Loida,Biological Sciences,3.2,2
1248,Pennsylvania State University,Escudero Javier,Spanish,4.9,5
1249,Pennsylvania State University,Eser Semih,Earth Science,3.7,16
1250,Pennsylvania State University,Eshleman Russell,Communication,4.5,17
1251,Pennsylvania State University,Esmer Tolga,Religion,3.9,8
1252,Pennsylvania State University,Essel Elizabeth,Human Development,5.0,5
1253,Pennsylvania State University,Ethier John,Mathematics,4.8,35
1254,Pennsylvania State University,Etienne Bevin,Environmental Engineering,4.8,3
1255,Pennsylvania State University,Etten Megan,Biological Sciences,3.0,1
1256,Pennsylvania State University,Etter Nicole,Communication Disorders,5.0,4
1257,Pennsylvania State University,Eubanks Charlotte,Comparative Literature,4.7,23
1258,Pennsylvania State University,Eury Jennifer,Management,3.6,14
1259,Pennsylvania State University,Evans Susan,Anthropology,3.4,15
1260,Pennsylvania State University,Evans Jenni,Meteorology,2.3,17
1261,Pennsylvania State University,Evans Blair,Kinesiology,3.5,10
1262,Pennsylvania State University,Evans Sabrina,English,2.0,2
1263,Pennsylvania State University,Evans Samuel,Engineering,4.7,17
1264,Pennsylvania State University,Everett Robert,Finance,3.2,6
1265,Pennsylvania State University,Ewara Eyo,Philosophy,4.2,4
1266,Pennsylvania State University,Fabbri Marc,Mathematics,4.3,126
1267,Pennsylvania State University,Facchi Giancarlo,Mathematics,4.4,7
1268,Pennsylvania State University,Fagan Garrett,Classics,4.0,35
1269,Pennsylvania State University,Faircloth Adam,English,1.6,9
1270,Pennsylvania State University,Fairdosi Amir,Political Science,4.4,18
1271,Pennsylvania State University,Faison Stephen,Philosophy,4.1,7
1272,Pennsylvania State University,Falk Daniel,Religion,2.6,5
1273,Pennsylvania State University,Falkenstern Rachel,Philosophy,4.5,2
1274,Pennsylvania State University,Fan James,Information Systems,5.0,1
1275,Pennsylvania State University,Fan Jingting,Economics,3.8,5
1276,Pennsylvania State University,Fanelli Patrick,Law,3.8,3
1277,Pennsylvania State University,Fang Yang,Mathematics,2.6,14
1278,Pennsylvania State University,Fang Guoliang,Mathematics,4.8,8
1279,Pennsylvania State University,Fang Ryan ,Economics,2.8,4
1280,Pennsylvania State University,Fang Ethan,Statistics,4.4,7
1281,Pennsylvania State University,Fantle Matthew,Earth Science,3.0,16
1282,Pennsylvania State University,Fapore - Fralick Desiree,Business,3.9,3
1283,Pennsylvania State University,Farage Samar,Sociology,4.6,41
1284,Pennsylvania State University,Farber Annika,English,4.2,9
1285,Pennsylvania State University,Farber Darryl,Philosophy,3.8,12
1286,Pennsylvania State University,Farmer Elizabeth,Health Administration,3.7,3
1287,Pennsylvania State University,Farmer Thomas,Education,4.0,3
1288,Pennsylvania State University,Faro Walter,English,4.6,5
1289,Pennsylvania State University,Farooque Mahfuza,Computer Science,1.7,42
1290,Pennsylvania State University,Farr James,Psychology,2.2,9
1291,Pennsylvania State University,Farrell Bryan,Art,3.0,16
1292,Pennsylvania State University,Farrugia James,Information Sciences  Technology,1.5,13
1293,Pennsylvania State University,Fast Stephen,Mathematics,5.0,4
1294,Pennsylvania State University,Fateh Hossein,Business,3.0,2
1295,Pennsylvania State University,Fathy Hosam,Mechanical Engineering,4.6,5
1296,Pennsylvania State University,Fattal Alexander,Communication,2.8,15
1297,Pennsylvania State University,Fedkin Mark,Mechanical Engineering,3.5,4
1298,Pennsylvania State University,Fedors Jonathan,English,3.1,19
1299,Pennsylvania State University,Feeley Lynne,English,4.8,2
1300,Pennsylvania State University,Fegert Elizabeth,Business,5.0,1
1301,Pennsylvania State University,Fehl Benjamin,Engineering,4.4,7
1302,Pennsylvania State University,Feifei Shi,Engineering,1.0,1
1303,Pennsylvania State University,Feigelson Eric,Astronomy,2.3,20
1304,Pennsylvania State University,Feineman Maureen,Earth Science,2.9,21
1305,Pennsylvania State University,Feldman Ken,Chemistry,3.3,36
1306,Pennsylvania State University,Feldman Alex,Philosophy,3.5,2
1307,Pennsylvania State University,Feldmiller Caiden,English,4.2,5
1308,Pennsylvania State University,Felmlee Diane,Sociology,4.2,3
1309,Pennsylvania State University,Felson Richard,Sociology,3.0,29
1310,Pennsylvania State University,Feltman Linda,Communication,4.8,2
1311,Pennsylvania State University,Fenchak Barry,Finance,4.2,7
1312,Pennsylvania State University,Feng Ying,Chinese,4.5,2
1313,Pennsylvania State University,Feng Zixuan,Engineering,5.0,3
1314,Pennsylvania State University,Feng Yuanyuan,Mathematics,2.0,1
1315,Pennsylvania State University,Feng Hongrui,Finance,3.0,4
1316,Pennsylvania State University,Ferger Marisa,Meteorology,4.8,5
1317,Pennsylvania State University,Fernandez Maria,Spanish,3.6,4
1318,Pennsylvania State University,Fernandez Corina,Geography,5.0,1
1319,Pennsylvania State University,Fernandez Ricardo,Spanish,5.0,1
1320,Pennsylvania State University,Fernandez-Medina Nicolas,Spanish,4.5,34
1321,Pennsylvania State University,Fernandez-Rhodes Lindsay,Behavioral Sciences,2.8,5
1322,Pennsylvania State University,Ferraguto Mark,Music,3.6,12
1323,Pennsylvania State University,Ferrara Amanda,Psychology,4.0,1
1324,Pennsylvania State University,Ferreri Paola,Agriculture,2.8,5
1325,Pennsylvania State University,Ferris Lance,Business,4.7,3
1326,Pennsylvania State University,Ferry James,Biological Sciences,2.0,1
1327,Pennsylvania State University,Few Martha,History,2.0,3
1328,Pennsylvania State University,Fichthorn Kristen,Chemical Engineering,2.5,20
1329,Pennsylvania State University,Fick Donna,Nursing,4.0,1
1330,Pennsylvania State University,Field Laura,Finance,4.3,10
1331,Pennsylvania State University,Field Meredith,Women's Studies,5.0,1
1332,Pennsylvania State University,Findeis Jill,Agriculture,4.1,8
1333,Pennsylvania State University,Fine Bill,English,4.9,12
1334,Pennsylvania State University,Fine Wil,English,3.0,1
1335,Pennsylvania State University,Finke Roger,Sociology,4.3,3
1336,Pennsylvania State University,Finke Erinn,Communication Disorders,3.9,4
1337,Pennsylvania State University,Finn Lee,Physics,2.1,11
1338,Pennsylvania State University,Firgens  Benjamin,Communication,4.7,7
1339,Pennsylvania State University,Fischer Paul,Accounting,4.7,5
1340,Pennsylvania State University,Fischer Aaron,Psychology,4.5,2
1341,Pennsylvania State University,Fish Carolyn,Geography,2.0,1
1342,Pennsylvania State University,Fisher Jeremy,Geography,3.5,1
1343,Pennsylvania State University,Fisher Kristen,Literature,4.0,3
1344,Pennsylvania State University,Fisher Margaret,Information Sciences  Technology,4.8,3
1345,Pennsylvania State University,Fisher Peggy,Information Sciences  Technology,4.9,4
1346,Pennsylvania State University,Fisher Jessica,English,5.0,2
1347,Pennsylvania State University,Fisher Mark,Philosophy,3.0,20
1348,Pennsylvania State University,Fisk Mary,German,2.0,3
1349,Pennsylvania State University,Fitzgerald Margaret,Education,3.0,2
1350,Pennsylvania State University,Flanders Kimberly,Communication,2.0,1
1351,Pennsylvania State University,Flaska Marek,Engineering,3.3,3
1352,Pennsylvania State University,Fleisch Eric,Jewish Studies,5.0,2
1353,Pennsylvania State University,Fleming Erica,English,3.8,14
1354,Pennsylvania State University,Fleming Allison,Health Science,4.0,1
1355,Pennsylvania State University,Fleming Jennifer,Nutrition,4.2,14
1356,Pennsylvania State University,Flemish Joe,Materials Engineering,3.0,2
1357,Pennsylvania State University,Flemming Allison,Social Science,4.0,1
1358,Pennsylvania State University,Flood Stephen,Mathematics,3.2,14
1359,Pennsylvania State University,Flores-Portero Luis,Spanish,4.5,3
1360,Pennsylvania State University,Flynn Ryan,Mathematics,4.5,21
1361,Pennsylvania State University,Foley Abram,English,4.4,4
1362,Pennsylvania State University,Foley Erik,Business,5.0,1
1363,Pennsylvania State University,Foley Bradford,Earth Science,4.3,3
